published,caption,views,reach,saved,shares,comments,likes,total_interactions,permalink,media_id
2017-12-23T08:53:44+0000,GeniusPark,,,,,,,,https://www.instagram.com/p/BdCevD1HqoS/,17915346223014770
2017-10-13T10:54:15+0000,,,,,,,,,https://www.instagram.com/p/BaL4ForHvEo/,17878753627189556
2017-07-27T11:29:51+0000,Neydi o zamanlar... TRON 1982 👾 #tbt #vfx #visualeffects #visualfx #bts #rotosco,,,,,,,,https://www.instagram.com/p/BXDGKKYHQcb/,17866669189144963
2017-06-03T07:29:34+0000,#geniuspark #vfx #vfxartists #postproduction #geniusatwork #warning #gp,,,,,,,,https://www.instagram.com/p/BU3nvDth99P/,17876407327067892
2017-05-15T18:45:06+0000,"TIMS&B 'nin yapımını üstlendiği, Görsel Efektlerini GeniusPark'ın yaptığı Söz di",,,,,,,,https://www.instagram.com/p/BUH58MxBN9n/,17866658563086493
2017-05-09T07:50:20+0000,@geniuspark,,,,,,,,https://www.instagram.com/p/BT3SPP-h81N/,17878945507019681
2017-05-07T18:43:19+0000,"Jenerik,  Görsel Efektler ve Post Prodüksiyonunu GeniusPark'ın yaptığı Savaşçı d",,,,,,,,https://www.instagram.com/p/BTzTYENhb2c/,17866177861082308
2017-04-24T19:19:34+0000,"TIMS & B 'nin yapımını üstlendiği, Görsel Efektlerini GeniusPark'ın yaptığı Söz ",,,,,,,,https://www.instagram.com/p/BTR5MOghimE/,17880249895006362
2017-04-23T18:12:28+0000,"Jenerik,  Görsel Efektler ve Post Prodüksiyonunu GeniusPark'ın yaptığı Savaşçı d",,,,,,,,https://www.instagram.com/p/BTPMt8Lh5Nc/,17878204345003629
2017-04-13T09:03:55+0000,"36. İstanbul Film Festivali kapsamında, İSTKA’ın desteği ile düzenlenmiş bu yıl ",,,,,,,,https://www.instagram.com/p/BS0d_g1h0yy/,17855955643135399
2017-04-09T20:57:25+0000,"Limon Film'in yapımını üstlendiği , Jenerik, Görsel Efektler ve Post Prodüksiyon",,,,,,,,https://www.instagram.com/p/BSrcduvhcKQ/,17876502517054768
2017-04-09T19:47:18+0000,"Limon Film'in yapımını üstlendiği , Jenerik,  Görsel Efektler ve Post Prodüksiyo",,,,,,,,https://www.instagram.com/p/BSrUcQkBsqC/,17865861715108249
2017-04-01T11:54:24+0000,"Ay Yapım'ın yapımını üstlendiği, Jenerik ve Görsel Efektlerini GeniusPark'ın yap",,,,,,,,https://www.instagram.com/p/BSV39lGB88A/,17865400573097998
2017-02-21T10:07:34+0000,#geniuspark #vfx #animation #vfxstudio,,,,,,,,https://www.instagram.com/p/BQxQu-wB7V6/,17860004566083711
2016-11-23T20:05:01+0000,Görsel efektlerini yaptığımız #DirilişErtuğrul yeni bölümüyle şu an da  #TRT1 ek,,,,,,,,https://www.instagram.com/p/BNKlkFUj8We/,17855812582116122
